Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,17,0.370,3.471,0.045,3.000,0.000,0.900,18.186,122.250
1,15,0.461,3.225,0.061,4.000,2.000,0.867,17.187,122.893
2,13,0.427,3.464,0.055,2.000,0.000,0.835,12.031,86.975
3,11,0.298,3.976,0.019,1.000,1.000,0.786,8.000,72.326
4,13,0.280,3.017,0.046,2.000,2.000,0.869,10.518,134.368
5,10,0.336,3.772,0.039,2.000,0.000,0.869,8.580,73.264
6,11,0.260,3.073,0.024,2.000,1.000,0.897,10.500,83.369
7,13,0.311,3.237,0.050,1.000,1.000,0.838,14.410,99.642
8,9,0.419,2.811,0.160,2.000,0.000,0.756,7.929,64.156
9,15,0.300,3.739,0.056,1.000,0.000,0.752,14.858,118.861
10,14,0.376,3.678,0.054,2.000,0.000,0.881,13.918,93.452
11,13,0.268,3.344,0.060,2.000,1.000,0.879,13.696,103.028
12,16,0.208,2.348,0.020,0.000,1.000,0.759,14.758,123.164
13,16,0.376,3.046,0.204,6.000,0.000,0.828,16.865,126.691
14,15,0.218,3.643,0.072,4.000,0.000,0.875,16.238,110.568
15,20,0.390,3.341,0.057,0.000,3.000,0.858,21.181,207.348
16,6,0.448,4.477,0.044,1.000,0.000,0.952,4.423,42.928
17,13,0.321,4.178,0.035,2.000,0.000,0.902,13.959,88.704
18,11,0.148,2.715,0.095,1.000,0.000,0.792,9.476,72.641
19,9,0.196,5.518,0.033,1.000,0.000,0.771,7.352,64.564
20,10,0.303,3.883,0.033,1.000,0.000,0.880,7.417,82.866
21,10,0.419,2.337,0.350,7.000,0.000,0.922,9.988,79.903
22,12,0.239,3.066,0.043,1.000,0.000,0.868,10.553,78.865
23,8,0.356,3.438,0.057,3.000,0.000,0.829,6.760,57.589
24,13,0.349,2.953,0.035,2.000,0.000,0.902,13.191,89.811
25,13,0.290,3.368,0.057,3.000,0.000,0.871,10.569,105.487
26,15,0.229,2.261,0.068,1.000,0.000,0.862,11.441,113.539
27,13,0.406,3.266,0.049,2.000,0.000,0.906,14.287,97.466
28,10,0.323,2.962,0.046,1.000,0.000,0.847,8.048,66.671
29,10,0.277,3.233,0.044,1.000,0.000,0.712,8.044,65.729
