Data,Feasible Num,Plain Occupancy,Planning Time,All time
0,28,0.719,193.695,294.086
1,35,0.629,224.077,343.916
2,54,0.692,407.299,596.055
3,34,0.581,210.139,327.916
4,42,0.648,579.931,721.353
5,46,0.701,206.767,367.245
6,58,0.912,183.851,381.756
7,25,0.632,84.635,176.127
8,40,0.623,244.139,382.526
9,41,0.589,208.536,348.004
10,37,0.739,176.803,305.891
11,59,0.585,256.096,458.022
12,45,0.771,515.869,675.042
13,48,0.481,333.461,503.479
14,46,0.620,218.151,382.531
15,36,0.573,297.886,424.564
16,47,0.631,219.785,381.285
17,41,0.609,352.170,495.912
18,50,0.545,307.492,484.639
19,48,0.670,217.216,386.825
20,56,0.676,852.417,1051.051
21,29,0.602,285.774,390.500
22,47,0.763,242.039,404.875
23,44,0.638,309.798,461.772
24,58,0.736,376.296,581.759
25,33,0.568,193.834,312.129
26,42,0.584,268.205,416.719
27,46,0.668,348.026,506.096
28,34,0.509,180.485,301.329
29,70,0.733,442.262,681.687
