Data,Feasible Num,Plain Occupancy,Planning Time,All time
0,41,0.892,167.242,278.846
1,49,0.811,202.897,335.010
2,73,0.836,262.537,456.935
3,51,0.818,216.920,354.313
4,52,0.820,239.581,379.684
5,59,0.841,228.889,386.953
6,67,0.919,274.349,453.051
7,33,0.826,166.923,257.951
8,63,0.836,260.132,428.345
9,52,0.830,230.787,370.644
10,48,0.824,216.819,346.453
11,74,0.880,286.660,483.773
12,49,0.883,222.490,354.612
13,66,0.786,290.558,466.603
14,59,0.807,217.433,375.327
15,48,0.776,220.815,350.236
16,60,0.853,261.210,421.852
17,64,0.867,267.966,438.918
18,72,0.826,304.817,496.310
19,60,0.794,246.727,406.748
20,60,0.831,269.642,429.711
21,41,0.836,172.294,283.727
22,73,0.863,281.024,474.968
23,67,0.858,267.295,446.311
24,64,0.832,265.249,436.758
25,46,0.790,213.600,337.928
26,54,0.804,216.259,361.521
27,59,0.809,239.059,396.849
28,45,0.816,225.703,347.500
29,80,0.851,342.449,552.239
