Data,Feasible Num,Space Utilization,Plain Occupancy,Planning Time,All time
0,30,0.513,0.937,9.449,121.213
1,39,0.507,0.928,11.391,149.593
2,76,0.665,0.883,23.728,280.636
3,58,0.637,0.891,16.712,213.317
4,58,0.613,0.911,17.589,219.961
5,59,0.585,0.924,17.020,217.306
6,47,0.457,0.957,11.611,173.287
7,39,0.582,0.931,12.146,146.685
8,70,0.686,0.912,22.662,259.686
9,59,0.648,0.905,19.240,221.311
10,50,0.612,0.909,14.537,190.912
11,70,0.615,0.917,22.421,257.571
12,50,0.600,0.924,16.266,195.193
13,74,0.659,0.908,28.019,293.301
14,67,0.649,0.899,23.246,257.283
15,53,0.593,0.901,18.548,208.387
16,61,0.592,0.920,21.160,238.788
17,64,0.616,0.899,23.081,252.062
18,66,0.526,0.913,24.049,257.659
19,62,0.607,0.910,20.120,230.442
20,62,0.577,0.893,18.606,231.569
21,50,0.641,0.914,14.707,187.517
22,70,0.604,0.906,23.258,275.145
23,70,0.631,0.922,14.279,222.229
24,56,0.515,0.934,8.654,170.238
25,27,0.368,0.952,3.310,87.148
26,50,0.571,0.923,6.136,149.790
27,37,0.396,0.930,4.587,113.484
28,47,0.558,0.898,5.258,139.928
29,79,0.561,0.904,12.527,234.092
