Data,Feasible Num,Space Utilization,Plain Occupancy,Planning Time,All time
0,19,0.412,0.923,8.391,88.581
1,16,0.434,0.960,5.990,71.303
2,21,0.433,0.959,8.579,90.571
3,12,0.298,0.942,4.360,60.135
4,21,0.462,0.924,7.751,86.867
5,27,0.573,0.947,9.816,109.279
6,21,0.461,0.929,8.204,85.985
7,9,0.292,0.974,3.238,46.206
8,23,0.536,0.967,9.217,94.403
9,21,0.433,0.896,8.420,89.822
10,10,0.385,0.969,3.525,51.724
11,17,0.376,0.970,7.256,75.613
12,19,0.462,0.974,7.676,88.160
13,19,0.461,0.946,7.335,82.838
14,15,0.374,0.923,5.801,65.743
15,17,0.386,0.934,7.595,77.757
16,7,0.207,0.968,2.064,40.713
17,25,0.531,0.961,10.337,103.927
18,19,0.369,0.970,8.547,82.294
19,11,0.334,0.905,4.255,51.654
20,20,0.477,0.907,6.682,84.384
21,13,0.356,0.942,4.474,61.546
22,22,0.558,0.915,8.281,95.568
23,19,0.478,0.910,6.779,85.754
24,19,0.435,0.935,7.233,82.825
25,16,0.368,0.927,7.002,74.927
26,21,0.515,0.940,8.547,91.139
27,21,0.449,0.941,8.436,91.813
28,25,0.554,0.957,9.474,106.528
29,13,0.293,0.974,6.241,66.048
